survey,subclass,plate,mjd,fiberid
boss,B5Ib (191243),3838,55588,22
boss,B8Ib (208501),6270,56273,658
boss,B5III (209419),4073,55663,776
boss,B5 (338529),4073,55663,782
boss,B5 (338529),5065,55739,652
boss,B9.5V+... (37269),3838,55588,416
boss,B3V (29763),4074,55679,68
boss,B3II (175156),5121,55856,672
boss,B9III (15318),5055,55889,22
boss,B2IV-V (176819),6270,56273,988
boss,B9.5V+... (37269),3838,55588,506
boss,B8IV (171301),4357,55829,310
sdss,B9,519,52283,571
boss,B5III (209419),5065,55739,744
boss,B8Ib (208501),6754,56414,556
boss,B5 (338529),6724,56416,314
boss,B5 (338529),4347,55830,741
sdss,B6,1679,53149,482
boss,B3II (175156),5738,56002,397
boss,B9.5V+... (37269),6028,56102,142
boss,B5 (338529),4064,55366,330
sdss,B9,1033,52822,73
boss,B3V (29763),5350,56009,888
boss,B5III (209419),5066,55749,8
sdss,B9,550,51959,368
boss,B3V (29763),4093,55475,850
boss,B5 (338529),6724,56416,504
boss,B5III (209419),4560,55575,222
boss,B2IV-V (176819),6028,56102,484
boss,B9III (15318),4778,55706,169
boss,B5 (338529),6261,56219,911
boss,B2IV-V (176819),4550,55894,134
boss,B5V (173087),3839,55575,40
boss,B5 (338529),3839,55575,47
boss,B5 (338529),3839,55575,78
boss,B9Vn (177756),4550,55894,150
boss,B2.5Ve (187811),4358,55833,42
boss,B5 (338529),4358,55833,82
boss,B8IV (171301),4358,55833,198
boss,B5 (338529),4358,55833,262
boss,B1Ve (212571),6485,56342,184
boss,B9.5V+... (37269),7118,56686,530
boss,B9III (15318),7118,56686,555
boss,B5 (338529),5738,56002,768
boss,B6IV (174959),3615,56544,894
sdss,B9,279,51984,352
boss,B5III (209419),6474,56362,745
boss,B2.5Ve (187811),7108,56686,930
boss,B9.5V+... (37269),7108,56686,952
boss,B5 (338529),7118,56686,970
boss,B9.5V+... (37269),4560,55575,422
boss,B2IV-V (176819),5738,56002,833
boss,B2III (35468),3857,55272,750
boss,B5 (338529),4778,55706,316
boss,B5 (338529),6272,56325,22
boss,B2IV-V (176819),3839,55575,380
boss,B5 (338529),3839,55575,400
boss,B5 (338529),5780,56274,864
segue1,B9,2555,54265,457
boss,B1Ve (212571),3639,55205,46
boss,B5Ib (191243),5122,55841,992
segue1,B9,1664,52973,546
sdss,B6,780,52370,204
boss,B8IV (171301),4358,55833,646
boss,B9.5V+... (37269),6735,56397,185
boss,B9.5V+... (37269),5123,55841,113
segue2,B6,3367,54998,602
boss,B0IVe (5394),5998,56087,408
boss,B2IV-V (176819),6008,56093,90
boss,B9Vn (177756),6735,56397,294
boss,B9Vn (177756),5123,55841,134
boss,B5 (338529),3639,55205,308
boss,B2IV-V (176819),6756,56426,559
boss,B9Vn (177756),4064,55366,780
boss,B6IV (174959),6008,56093,320
boss,B0.5Iae (185859),6008,56093,340
boss,B5 (338529),5066,55749,596
boss,B5 (338529),7109,56658,106
boss,B8IV (171301),5341,55931,316
boss,B6IV (174959),5739,55976,386
boss,B9.5V+... (37269),5066,55749,660
boss,B5III (209419),6735,56397,730
boss,B7IVe (209409),5066,55749,722
boss,B5 (338529),6725,56390,132
boss,B9Vn (177756),6725,56390,188
boss,B2Vne (58343),4561,55614,54
boss,B9III (15318),5124,55894,218
boss,B2IV-V (176819),4778,55706,520
boss,B1Ve (212571),5352,56269,142
boss,B8III (220575),3839,55575,698
boss,B2.5V (175426),3839,55575,716
boss,B5 (338529),3839,55575,766
boss,B9.5V+... (37269),3839,55575,768
boss,B8IV (171301),3839,55575,778
boss,B5 (338529),3839,55575,898
boss,B9Vn (177756),7120,56720,958
boss,B3II (175156),6008,56093,592
boss,B9Vn (177756),4831,55679,938
boss,B2IV-V (176819),4831,55679,964
boss,B3II (175156),3859,55246,330
boss,B2III (35468),4778,55706,612
boss,B9Vn (177756),4778,55706,616
boss,B8IV (171301),5998,56087,712
boss,B8IV (171301),5998,56087,715
boss,B5 (338529),4348,55559,430
boss,B5 (338529),5352,56269,385
boss,B5 (338529),5352,56269,440
boss,B5 (338529),3839,55575,932
boss,B9.5V+... (37269),6008,56093,632
boss,B3Ib/II (51309),4075,55352,618
boss,B2IV-V (176819),4075,55352,644
boss,B5 (338529),6008,56093,706
boss,B9Vn (177756),6008,56093,736
boss,B9III (15318),4832,55680,332
boss,B2IV-V (176819),4379,55881,492
boss,B5 (338529),5373,56010,466
segue1,B6,1963,54331,136
boss,B5 (338529),3830,55574,92
boss,B5V (173087),3830,55574,122
boss,B9III (15318),3830,55574,196
boss,B5 (338529),3830,55574,200
boss,B0.5Ibe... (187459),6272,56325,588
boss,B3II (175156),6030,56097,834
boss,B9Vn (177756),3830,55574,210
boss,B0IVe (5394),6725,56390,388
boss,B5 (338529),6725,56390,418
sdss,B6,1049,52751,218
boss,B9Vn (177756),6757,56416,946
boss,B8III (220575),6475,56337,362
boss,B5Ib (191243),7123,56726,297
boss,B5 (338529),6475,56337,446
boss,B2.5V (175426),6262,56267,502
boss,B3II (175156),6262,56267,526
boss,B3V (29763),5352,56269,798
boss,B5 (338529),4562,55570,115
boss,B3V (29763),5352,56269,859
sdss,B6,1050,52721,55
boss,B2IV-V (176819),4833,55679,188
boss,B8Ib (208501),4833,55679,194
boss,B5 (338529),4096,55501,674
boss,B3V (29763),3840,55574,384
boss,B9.5V+... (37269),3840,55574,428
boss,B9III (15318),3840,55574,431
boss,B9Vn (177756),3840,55574,436
boss,B8III (220575),6009,56313,524
sdss,B6,1050,52721,186
boss,B5 (338529),3840,55574,516
boss,B3Ib/II (51309),5783,56017,500
